,date,invoice,price,times_viewed
0,2017-11-28,489567.4747130003,4.483568104250799,4.668631709587341
1,2017-11-29,489819.5306682942,4.092755569118196,4.320720170888007
2,2017-11-30,490056.35676215857,4.427131912058715,5.251832111925383
3,2017-12-01,490240.1395076202,3.785572489253637,4.89409925752247
4,2017-12-02,490380.5447761194,3.590199004975127,8.24129353233831
5,2017-12-03,490476.4572605561,3.3125334706487912,4.399588053553038
6,2017-12-04,490692.73021958873,4.579121645172611,4.444405716277449
7,2017-12-05,490918.7086065574,3.8799221311475547,5.165573770491803
8,2017-12-06,491072.4947368421,4.562161943319863,4.255060728744939
9,2017-12-07,491254.88282504014,4.404735152487991,4.809390048154093
10,2017-12-08,491552.99935149157,3.176601815823588,5.137483787289235
11,2017-12-10,491686.3665540541,2.8056700450450296,4.79786036036036
12,2017-12-11,491900.7551615254,4.825596307991331,4.1333495263541415
13,2017-12-12,492127.0873253493,4.996072854291435,5.552395209580839
14,2017-12-13,492362.4741915423,4.937705223880687,4.440298507462686
15,2017-12-14,492562.5282442748,3.9193791348600246,4.837150127226463
16,2017-12-15,492762.98249878467,5.333281477880475,4.362177929022849
17,2017-12-17,492809.2810047096,3.0844427001569934,6.2998430141287285
18,2017-12-18,492960.192248062,4.413302325581383,4.97984496124031
19,2017-12-19,493171.9225523624,6.502727715538274,2.54164637116415
20,2017-12-20,493389.11666666664,4.200574074074069,5.607407407407408
21,2018-01-01,493466.624251497,2.9439371257485103,4.498502994011976
22,2018-01-02,493673.987206823,3.2636140724946663,5.973347547974414
23,2018-01-03,493742.77210884355,3.2852040816326586,6.782312925170068
24,2018-01-04,493834.39154929575,3.167286384976516,7.980281690140845
25,2018-01-05,493939.78859527124,6.926189151599424,7.598052851182198
26,2018-01-07,493986.4133522727,2.954687500000011,6.6789772727272725
27,2018-01-08,494052.1026785714,5.368080357142918,3.2299107142857144
28,2018-01-09,494217.78139114723,3.432321589882558,5.129177958446252
29,2018-01-10,494365.25547445257,7.05645377128957,3.4708029197080292
30,2018-01-11,494443.12107623316,5.483690582959677,4.311659192825112
31,2018-01-12,494585.26435045316,3.149486404833843,6.848942598187311
32,2018-01-14,494654.7562724014,3.0809229390680875,5.10752688172043
33,2018-01-15,494761.35429769394,4.668936058700218,3.20335429769392
34,2018-01-16,494877.9854760624,4.221458310919847,4.800430338891878
35,2018-01-17,495023.3758169935,5.736854575163394,4.222222222222222
36,2018-01-18,495155.9812703583,3.1389250814332095,5.93485342019544
37,2018-01-19,495283.0717105263,6.196723684210538,5.505921052631579
38,2018-01-21,495372.07867820613,3.1646184107002173,4.635719905586153
39,2018-01-22,495486.83814008243,4.13055326662741,4.525603296056504
40,2018-01-23,495702.7216624685,9.736227959697798,5.043450881612091
41,2018-01-24,495917.7865384615,4.093301282051272,4.903205128205128
42,2018-01-25,496029.8349282297,3.033604465709717,6.2368421052631575
43,2018-01-26,496212.8990901572,19.823689826302687,5.122415219189413
44,2018-01-28,496319.3892857143,2.8239714285714146,5.35
45,2018-01-29,496442.0664760543,5.304582558970681,4.529664045746962
46,2018-01-30,496550.99575191166,3.9222854715377844,6.068819031435853
47,2018-01-31,496705.9219858156,3.8500264345583393,4.660863958736299
48,2018-02-01,496894.0402515723,3.0427044025157026,5.1817610062893085
49,2018-02-02,497043.6016713092,4.018718662952639,5.158774373259053
50,2018-02-04,497209.768957346,2.73751184834123,4.5059241706161135
51,2018-02-05,497298.6074289876,4.980604515659137,4.819373634377276
52,2018-02-06,497406.66257088847,3.40946124763704,6.572778827977316
53,2018-02-07,497548.50791855203,4.651233031674186,3.3642533936651584
54,2018-02-08,497637.9988518944,3.330826636050506,5.489092996555683
55,2018-02-09,497816.20752427186,3.6528762135922173,5.040048543689321
56,2018-02-11,497904.8283082077,2.977378559463972,5.425460636515913
